epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,9723.9,1.78443,2.11374,1.55471,0.59173,0.4844,0.50546,0.26314,1.56254,2.22535,1.39161,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,10019.7,1.77446,2.09431,1.53657,0.59018,0.47211,0.4986,0.25903,1.56754,2.25321,1.37517,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,10317.1,1.78803,2.12356,1.52719,0.57228,0.48624,0.49916,0.26135,1.56955,2.25331,1.37665,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,10615.9,1.76961,2.06375,1.52123,0.58876,0.49474,0.50492,0.26335,1.56186,2.18709,1.38274,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,10928.5,1.75643,2.05915,1.50851,0.5895,0.48923,0.51268,0.27117,1.55302,2.21792,1.36772,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,11247.7,1.75487,2.06204,1.51406,0.59132,0.50336,0.51759,0.27412,1.55281,2.24324,1.37136,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,11547.6,1.74814,2.04325,1.51154,0.59706,0.48685,0.5175,0.27596,1.53484,2.14716,1.36013,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,11852.1,1.75753,2.03582,1.5081,0.60701,0.50336,0.53134,0.28366,1.52464,2.1556,1.35769,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,12202.1,1.74074,2.03948,1.50355,0.60255,0.50092,0.53409,0.28739,1.5129,2.15,1.35577,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,12601.1,1.72088,2.02817,1.49222,0.63154,0.5011,0.53628,0.28729,1.52282,2.11043,1.3558,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,13011.3,1.73154,1.98846,1.50496,0.62827,0.51498,0.54113,0.28911,1.51353,2.09676,1.35114,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,13427.1,1.7249,1.97291,1.50002,0.6213,0.51131,0.54198,0.2912,1.52021,2.15616,1.35767,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,13826.1,1.68871,1.98136,1.47623,0.65582,0.49995,0.54778,0.29365,1.51348,2.15582,1.35169,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,14244.1,1.7146,1.99358,1.48779,0.65089,0.50887,0.5485,0.29662,1.50262,2.1473,1.3475,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,14657.4,1.7016,1.9599,1.47512,0.66041,0.49957,0.55026,0.29799,1.50478,2.12688,1.34731,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,15073.2,1.69261,1.90954,1.47524,0.66664,0.49786,0.5546,0.30412,1.49917,2.11207,1.34718,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,15491.3,1.70585,1.96305,1.4822,0.64733,0.51437,0.55398,0.30465,1.49048,2.1315,1.34045,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,15905.1,1.66942,1.89467,1.46945,0.6496,0.50581,0.55424,0.30583,1.49453,2.12309,1.34348,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,16319.6,1.69773,1.93815,1.4657,0.63218,0.51508,0.55663,0.30692,1.48932,2.11858,1.33636,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,16734.7,1.67621,1.92005,1.46098,0.63557,0.52355,0.56257,0.30905,1.47703,2.09052,1.33487,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,17146.1,1.67203,1.90381,1.46305,0.64375,0.50642,0.56069,0.31186,1.46757,2.0786,1.32987,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,17558,1.67585,1.89243,1.46102,0.65562,0.50398,0.56188,0.31249,1.47768,2.10204,1.33175,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,17971.5,1.68376,1.91203,1.45556,0.65768,0.50887,0.56759,0.31578,1.48316,2.07708,1.329,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,18386.4,1.66471,1.8495,1.45093,0.65154,0.51927,0.56515,0.31326,1.49255,2.08144,1.33196,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,18799.3,1.66325,1.86695,1.44525,0.65829,0.51137,0.56658,0.31485,1.49136,2.0742,1.32913,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,19214.3,1.65598,1.88148,1.44599,0.65953,0.5156,0.56726,0.31482,1.48494,2.0846,1.32857,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,19625.6,1.64108,1.83946,1.43147,0.66972,0.50703,0.56789,0.31314,1.48122,2.07579,1.32294,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,20037.6,1.65283,1.87875,1.43694,0.69112,0.50214,0.5698,0.3166,1.4721,2.05871,1.31867,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,20454.1,1.63907,1.84068,1.43251,0.68031,0.5052,0.5719,0.31831,1.46722,2.03626,1.31426,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,20867.7,1.62177,1.8406,1.42454,0.66179,0.52299,0.57558,0.31843,1.47053,2.02882,1.31556,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,21278.5,1.6271,1.81373,1.4228,0.66003,0.52128,0.57686,0.31971,1.46693,2.01479,1.31551,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,21693.4,1.61648,1.79946,1.42302,0.65489,0.53333,0.58003,0.32049,1.47114,2.00916,1.31629,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,22110.1,1.62446,1.78579,1.41858,0.67466,0.52232,0.58224,0.32184,1.47046,2.00002,1.31671,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,22523.3,1.62485,1.7984,1.42359,0.68676,0.52171,0.58308,0.32242,1.47468,1.99723,1.31781,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,22935.4,1.60509,1.79261,1.40391,0.67382,0.53456,0.58489,0.32506,1.47988,2.00559,1.31922,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,23349.9,1.61067,1.76716,1.4132,0.66119,0.53823,0.58622,0.32731,1.47886,2.0062,1.31704,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,23762,1.59695,1.79311,1.3992,0.67689,0.53431,0.58817,0.32811,1.47759,1.99648,1.31633,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,24172.9,1.58994,1.74358,1.38871,0.65429,0.54006,0.58777,0.32866,1.47878,2.00334,1.31842,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,24586.9,1.57019,1.73085,1.38125,0.655,0.54251,0.58913,0.32932,1.48572,2.00766,1.32131,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,25001.8,1.58081,1.73363,1.38657,0.66477,0.5419,0.58996,0.33097,1.48562,2.00371,1.321,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,25413.7,1.58631,1.73693,1.39309,0.66161,0.54373,0.59248,0.33242,1.48603,1.99597,1.32175,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,25827.6,1.56683,1.68424,1.37479,0.67699,0.54095,0.59473,0.33294,1.48623,1.99499,1.32198,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,26239.8,1.56222,1.69133,1.38486,0.681,0.53823,0.59811,0.33506,1.48922,1.99881,1.32387,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,26653.5,1.56777,1.70393,1.37383,0.68968,0.53149,0.59504,0.33493,1.48802,2,1.32273,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,27064.9,1.55922,1.70289,1.36443,0.6888,0.53394,0.59762,0.33537,1.49127,1.99525,1.32342,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
