epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,14971.5,1.83735,2.21905,1.56311,0.58311,0.4534,0.46694,0.2331,1.59505,2.3409,1.38947,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,15431.7,1.82046,2.18724,1.53634,0.58502,0.45382,0.48072,0.24068,1.62383,2.30035,1.39208,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,15892.9,1.83267,2.20303,1.53183,0.56736,0.45933,0.46762,0.23932,1.5884,2.28329,1.3721,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,16356.2,1.8232,2.17681,1.53189,0.5857,0.44771,0.46682,0.23521,1.61249,2.34849,1.38933,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,16815.6,1.81436,2.16148,1.52598,0.56857,0.45138,0.47625,0.24564,1.59091,2.28132,1.37705,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,17274.8,1.81742,2.17154,1.52929,0.60731,0.46177,0.48855,0.25061,1.60614,2.29075,1.3779,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,17731.7,1.79592,2.16227,1.51491,0.59426,0.45865,0.4854,0.25052,1.59257,2.26733,1.36464,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,18190,1.80067,2.14275,1.51153,0.5811,0.47829,0.48996,0.24933,1.57786,2.30021,1.35606,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,18648.6,1.79282,2.14124,1.50762,0.58331,0.47261,0.4933,0.25889,1.56628,2.29171,1.3555,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,19106.9,1.78328,2.13359,1.50643,0.58685,0.47584,0.49509,0.26171,1.57676,2.25555,1.36019,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,19566.7,1.77892,2.0792,1.50447,0.60595,0.48135,0.50254,0.26595,1.56673,2.20678,1.3559,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,20027.1,1.77194,2.06629,1.50271,0.60565,0.47523,0.50749,0.26365,1.5718,2.26297,1.35559,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,20487.1,1.7443,2.08219,1.48573,0.62261,0.48379,0.50857,0.269,1.57139,2.24161,1.34927,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,20937.5,1.77182,2.08878,1.49298,0.62261,0.48636,0.51309,0.27123,1.55298,2.20097,1.33849,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,21390.4,1.75355,2.06747,1.48392,0.6111,0.48685,0.51709,0.2734,1.55712,2.22409,1.33902,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,21844.3,1.74146,2.03216,1.48603,0.59839,0.47951,0.51997,0.27513,1.54841,2.22776,1.33608,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,22300.1,1.76368,2.06526,1.48805,0.61497,0.48941,0.51481,0.27171,1.54991,2.19174,1.33007,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
